,ni,nj,nk,disruption,name,confidence
mn0000607967,15.0,3.0,221.0,0.0502092050209205,Astor Piazzolla,0.9756
mn0000005882,84.0,89.0,3089.0,-0.0015328019619865114,T. Rex,0.6385
mn0000037658,78.0,24.0,210.0,0.17307692307692307,Steve Reich,1.0
mn0000840000,30.0,9.0,447.0,0.043209876543209874,Vangelis,0.9965
mn0000849672,32.0,15.0,456.0,0.033797216699801194,Philip Glass,0.9823
mn0000002411,78.0,36.0,2651.0,0.015189873417721518,Tangerine Dream,0.9999
mn0000833782,17.0,12.0,1833.0,0.0026852846401718583,Liquid Liquid,0.7652
mn0000956353,4.0,2.0,134.0,0.014285714285714285,Daniel Wang,0.653
mn0000193231,99.0,47.0,1451.0,0.03256105197244834,Gang of Four,1.0
mn0000139566,1.0,7.0,401.0,-0.014669926650366748,Curtis Fuller,0.8758
mn0000792096,2.0,6.0,19.0,-0.14814814814814814,Frank Rosolino,0.781
mn0000352164,0.0,3.0,22.0,-0.12,Kai Winding,0.7339
mn0000611102,15.0,14.0,512.0,0.0018484288354898336,Albert Collins,0.5555
mn0000825208,33.0,28.0,301.0,0.013812154696132596,Lightnin' Hopkins,0.7109
mn0000898331,15.0,11.0,63.0,0.0449438202247191,Mississippi Fred McDowell,0.7222
mn0000176936,33.0,46.0,244.0,-0.04024767801857585,Elmore James,0.9079
mn0000815039,59.0,55.0,357.0,0.008492569002123142,John Lee Hooker,0.6405
mn0000129547,10.0,12.0,367.0,-0.005141388174807198,"Clarence ""Gatemouth"" Brown",0.6247
mn0000143044,0.0,2.0,258.0,-0.007692307692307693,Frankie Lee Sims,0.6704
mn0000988471,17.0,4.0,981.0,0.012974051896207584,Enya,0.9828
mn0000227697,8.0,7.0,776.0,0.0012642225031605564,Robbie Williams,0.5634
mn0000272563,4.0,0.0,153.0,0.025477707006369428,S Club 7,0.8022
mn0000404434,8.0,38.0,2965.0,-0.009963467286615742,The Moody Blues,1.0
mn0000747445,43.0,49.0,2875.0,-0.0020222446916076846,Patti Smith,0.7111
mn0000251078,1.0,2.0,593.0,-0.0016778523489932886,Julius Hemphill,0.5868
mn0000800100,22.0,48.0,616.0,-0.037900874635568516,Eric Dolphy,0.9978
mn0000175553,103.0,255.0,1052.0,-0.10780141843971631,John Coltrane,1.0
mn0000614339,29.0,36.0,632.0,-0.010043041606886656,Albert Ayler,0.7675
mn0000600734,5.0,16.0,971.0,-0.011088709677419355,The Art Ensemble of Chicago,0.9575
mn0000360956,15.0,3.0,123.0,0.0851063829787234,Jimmy Giuffre,0.9748
mn0000503279,2.0,20.0,735.0,-0.023778071334214,Archie Shepp,0.9972
mn0000080970,12.0,13.0,560.0,-0.0017094017094017094,Ike Turner,0.5633
mn0000242966,22.0,7.0,180.0,0.07177033492822966,Lennie Tristano,0.9821
mn0000484396,103.0,64.0,541.0,0.05508474576271186,Ornette Coleman,0.9981
mn0000796166,12.0,29.0,858.0,-0.018909899888765295,Don Cherry,0.9879
mn0001622854,1.0,3.0,152.0,-0.01282051282051282,Whisky Priests,0.6648
mn0000626989,1.0,0.0,1778.0,0.0005621135469364812,Brother,0.5882
mn0000489876,30.0,36.0,1468.0,-0.003911342894393742,The Pogues,0.7478
mn0000315403,21.0,42.0,1303.0,-0.015373352855051245,Venom,0.9899
mn0000501407,38.0,88.0,1785.0,-0.026164311878597593,Motörhead,1.0
mn0000367459,11.0,3.0,504.0,0.015444015444015444,Naked Raygun,0.9163
mn0000604075,6.0,2.0,125.0,0.03007518796992481,Agent Orange,0.7728
mn0000288841,20.0,8.0,95.0,0.0975609756097561,Robert Hood,0.9583
mn0000793821,30.0,0.0,13.0,0.6976744186046512,Frankie Knuckles,1.0
mn0000205313,34.0,31.0,1207.0,0.0023584905660377358,Derrick May,0.6246
mn0000574654,0.0,1.0,102.0,-0.009708737864077669,Dave Angel,0.589
mn0000184031,30.0,4.0,186.0,0.11818181818181818,Underground Resistance,0.9999
mn0000055304,24.0,6.0,26.0,0.32142857142857145,The Flamingos,0.9947
mn0000893719,8.0,5.0,45.0,0.05172413793103448,The Penguins,0.7093
mn0000627026,31.0,6.0,753.0,0.03164556962025317,Amy Winehouse,0.9997
